Name,Formula,Adduct,Dil_1_1,InChI,InChI_Key,cid,complexity,exact_mass,h_bond_acceptor_count,h_bond_donor_count,heavy_atom_count,molecular_formula,rotatable_bond_count,tpsa,xlogp,Match,GENERIC_NAME,CHEMICAL_FORMULA,INCHI_KEY,EXACT_MASS,ALOGPS_LOGP,ALOGPS_LOGS,ALOGPS_SOLUBILITY,MOLECULAR_WEIGHT,SMILES,HMDB_ID,INCHI_IDENTIFIER,JCHEM_ACCEPTOR_COUNT,JCHEM_ACIDIC_PKA,JCHEM_BASIC_PKA,JCHEM_DONOR_COUNT,JCHEM_LOGP,JCHEM_PHYSIOLOGICAL_CHARGE,JCHEM_POLARIZABILITY,JCHEM_POLAR_SURFACE_AREA,JCHEM_REFRACTIVITY,JCHEM_ROTATABLE_BOND_COUNT,IUPAC_NAME,TRADITIONAL_IUPAC_NAME,SYNONYMS
Spermidine,C7H19N3,M+H,24278942.0,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2",InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N,1102.0,56.8,145.157898,3.0,3.0,10.0,C7H19N3,7.0,64.1,-1.0,1,Spermidine,C7H19N3,InChIKey=ATHGHQPFGPMSJY-UHFFFAOYSA-N,145.157897623,-0.62,-0.65,32.7 g/L,145.2459,NCCCCNCCCN,HMDB01257,"InChI=1S/C7H19N3/c8-4-1-2-6-10-7-3-5-9/h10H,1-9H2",3,,10.9,3,-1.1,3,18.8,64.07,44.97,7,(4-aminobutyl)(3-aminopropyl)amine,spermidine,"1,5,10-Triazadecane;1,8-Diamino-4-azaoctane;4-Azaoctamethylenediamine;4-Azaoctane-1,8-diamine;Aminopropylbutandiamine;N-(3-Aminopropyl)-1,4-butane-diamine;N-(3-Aminopropyl)-1,4-butanediamine;N-(3-Aminopropyl)-1,4-diamino-butane;N-(3-Aminopropyl)-1,4-diaminobutane;N-(3-Aminopropyl)-4-aminobutylamine;N-(4-Aminobutyl)-1,3-diaminopropane;N-(gamma-Aminopropyl)tetramethylenediamine;SPD;Spermidin;Spermidine"
Glycerol,C3H8O3,M+H,2168900.0,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,753.0,25.2,92.047344,3.0,3.0,6.0,C3H8O3,2.0,60.7,-1.8,1,Glycerol,C3H8O3,InChIKey=PEDCQBHIVMGVHV-UHFFFAOYSA-N,92.047344122,-1.9,1.1,1170 g/L,92.0938,OCC(O)CO,HMDB00131,"InChI=1S/C3H8O3/c4-1-3(6)2-5/h3-6H,1-2H2",3,13.61,-3,3,-1.8,0,8.93,60.69,20.52,2,"propane-1,2,3-triol",glycerol,"1,2,3-Trihydroxypropane;Bulbold;Cristal;E 422;Emery 916;Glyceol Opthalgan;Glycerin;Glycerine;Glyceritol;Glycerol;Glycyl alcohol;Glyrol;Glysanin;IFP;Incorporation factor;Mackstat H 66;Osmoglyn;Pricerine 9091;Propanetriol;RG-S;Trihydroxypropane;Tryhydroxypropane"
Inosine,C10H12N4O5,M+H,70263872.0,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N,6021.0,405.0,268.08077,6.0,4.0,19.0,C10H12N4O5,2.0,129.0,-2.1,1,Inosine,C10H12N4O5,InChIKey=UGQMRVRMYYASKQ-KQYNXXCUSA-N,268.080769514,-1.9,-1.3,13.8 g/L,268.2261,OC[C@H]1O[C@H]([C@H](O)[C@@H]1O)N1C=NC2=C1N=CNC2=O,HMDB00195,"InChI=1S/C10H12N4O5/c15-1-4-6(16)7(17)10(19-4)14-3-13-5-8(14)11-2-12-9(5)18/h2-4,6-7,10,15-17H,1H2,(H,11,12,18)/t4-,6-,7-,10-/m1/s1",7,8.93,0.61,4,-2.5,0,24.48,129.2,61.33,2,"9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-6,9-dihydro-1H-purin-6-one","9-[(2R,3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-1H-purin-6-one","(-)-Inosine;1,9-Dihydro-9-b-D-ribofuranosyl-6H-Purin-6-one;1,9-Dihydro-9-beta-D-ribofuranosyl-6H-purin-6-one;1,9-Dihydro-9-beta-delta-ribofuranosyl-6H-purin-6-one;9-b-D-Ribofuranosyl-Hypoxanthine;9-b-D-Ribofuranosylhypoxanthine;9-beta-D-Ribofuranosyl-Hypoxanthine;9-beta-D-Ribofuranosylhypoxanthine;9-beta-delta-Ribofuranosyl-Hypoxanthine;9-beta-delta-Ribofuranosylhypoxanthine;9beta-D-Ribofuranosylhypoxanthine;9beta-delta-Ribofuranosylhypoxanthine;Atorel;beta-D-Ribofuranoside hypoxanthine-9;beta-delta-Ribofuranoside hypoxanthine-9;beta-Inosine;HXR;Hypoxanthine 9-beta-D-ribofuranoside;Hypoxanthine 9-beta-delta-ribofuranoside;Hypoxanthine D-riboside;Hypoxanthine nucleoside;Hypoxanthine ribonucleoside;Hypoxanthine riboside;Hypoxanthine-9 beta-D-Ribofuranoside;Hypoxanthine-9 beta-delta-Ribofuranoside;Hypoxanthine-9-beta-D-ribofuranoside;Hypoxanthine-9-beta-delta-ribofuranoside;Hypoxanthine-9-D-ribofuranoside;Hypoxanthine-9-delta-ribofuranoside;Hypoxanthine-ribose;Hypoxanthosine;Indole-3-carboxaldehyde;Ino;Inosie;Iso-prinosine;Oxiamin;Panholic-L;Pantholic-L;Ribonosine;Selfer;Trophicardyl"
L-Phenylalanine,C9H11NO2,M+H,158189072.0,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N,6140.0,153.0,165.078979,3.0,2.0,12.0,C9H11NO2,3.0,63.3,-1.5,1,L-Phenylalanine,C9H11NO2,InChIKey=COLNVLDHVKWLRT-QMMMGPOBSA-N,165.078978601,-1.4,-1.6,4.14 g/L,165.1891,N[C@@H](CC1=CC=CC=C1)C(O)=O,HMDB00159,"InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)/t8-/m0/s1",3,2.47,9.45,2,-1.2,0,17.2,63.32,45.12,3,(2S)-2-amino-3-phenylpropanoic acid,L-phenylalanine,(-)-beta-Phenylalanine;(L)-Phenylalanine;(S)-(-)-Phenylalanine;(S)-2-amino-3-phenylpropanoate;(S)-2-amino-3-phenylpropanoic acid;(S)-2-Amino-3-phenylpropionate;(S)-2-Amino-3-phenylpropionic acid;(S)-alpha-Amino-benzenepropanoate;(S)-alpha-Amino-benzenepropanoic acid;(S)-alpha-Amino-beta-phenylpropionate;(S)-alpha-Amino-beta-phenylpropionic acid;(S)-alpha-Aminobenzenepropanoate;(S)-alpha-Aminobenzenepropanoic acid;(S)-alpha-Aminohydrocinnamate;(S)-alpha-Aminohydrocinnamic acid;(S)-Phenylalanine;3-Phenyl-L-alanine;alpha-Aminohydrocinnamate;alpha-Aminohydrocinnamic acid;beta-Phenyl-alpha-alanine;beta-Phenyl-L-alanine;beta-Phenylalanine;L-2-Amino-3-phenylpropionate;L-2-Amino-3-phenylpropionic acid;Phe;Phenyl-Alanine;Phenylalamine;Phenylalanine
L-Leucine,C6H13NO2,M+H,197374192.0,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N,6106.0,101.0,131.094629,3.0,2.0,9.0,C6H13NO2,3.0,63.3,-1.5,1,L-Leucine,C6H13NO2,InChIKey=ROHFNLRQFUQHCH-YFKPBYRVSA-N,131.094628665,-1.8,-0.27,69.8 g/L,131.1729,CC(C)C[C@H](N)C(O)=O,HMDB00687,"InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t5-/m0/s1",3,2.79,9.52,2,-1.6,0,14.25,63.32,34.17,3,(2S)-2-amino-4-methylpentanoic acid,D-leucine,(2S)-2-Amino-4-methylpentanoate;(2S)-2-Amino-4-methylpentanoic acid;(S)-(+)-Leucine;(S)-2-Amino-4-methylpentanoate;(S)-2-Amino-4-methylpentanoic acid;(S)-2-Amino-4-methylvalerate;(S)-2-Amino-4-methylvaleric acid;(S)-Leucine;4-Methyl-L-Norvaline;L-(+)-Leucine;L-a-Aminoisocaproate;L-a-Aminoisocaproic acid;L-alpha-Aminoisocaproate;L-alpha-Aminoisocaproic acid;Leu;Leucine
L-Tryptophan,C11H12N2O2,M+H,104721704.0,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N,6305.0,245.0,204.089878,3.0,3.0,15.0,C11H12N2O2,3.0,79.1,-1.1,1,L-Tryptophan,C11H12N2O2,InChIKey=QIVBCDIJIAJPQS-VIFPVBQESA-N,204.089877638,-1.1,-2.2,1.36 g/L,204.2252,N[C@@H](CC1=CNC2=CC=CC=C12)C(O)=O,HMDB00929,"InChI=1S/C11H12N2O2/c12-9(11(14)15)5-7-6-13-10-4-2-1-3-8(7)10/h1-4,6,9,13H,5,12H2,(H,14,15)/t9-/m0/s1",3,2.54,9.4,3,-1.1,0,21.05,79.11,56.2,3,(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid,L-tryptophan,(-)-tryptophan;(2S)-2-amino-3-(1H-indol-3-yl)propanoate;(2S)-2-amino-3-(1H-indol-3-yl)propanoic acid;(L)-tryptophan;(S)-1H-Indole-3-alanine;(S)-2-Amino-3-(3-indolyl)propionic acid;(S)-a-Amino-1H-indole-3-propanoate;(S)-a-Amino-1H-indole-3-propanoic acid;(S)-a-amino-b-indolepropionate;(S)-a-amino-b-indolepropionic acid;(S)-a-Aminoindole-3-propionate;(S)-a-Aminoindole-3-propionic acid;(S)-alpha-Amino-1H-indole-3-propanoate;(S)-alpha-Amino-1H-indole-3-propanoic acid;(S)-alpha-Amino-beta-(3-indolyl)-propionic acid;(S)-alpha-amino-beta-indolepropionate;(S)-alpha-amino-beta-indolepropionic acid;(S)-alpha-Aminoindole-3-propionate;(S)-alpha-Aminoindole-3-propionic acid;(S)-tryptophan;1-beta-3-Indolylalanine;1beta-3-Indolylalanine;1H-Indole-3-Alanine;2-Amino-3-indolylpropanoate;2-Amino-3-indolylpropanoic acid;3-(1H-Indol-3-yl)-L-Alanine;3-Indol-3-ylalanine;alpha'-Amino-3-indolepropionic acid;alpha-Aminoindole-3-propionic acid;Ardeytropin;H-TRP-oh;Indole-3-alanine;Kalma;L-(-)-Tryptophan;L-alpha-Amino-3-indolepropionic acid;L-alpha-Aminoindole-3-propionic acid;L-b-3-Indolylalanine;L-beta-3-Indolylalanine;L-Tryptofan;L-Tryptophan;L-Tryptophane;Lopac-T-0254;Lyphan;Optimax;Pacitron;Sedanoct;Triptofano;Trofan;Tryptacin;Tryptan;Tryptophan;Tryptophane;Tryptophanum
2-Phenylglycine,C8H9NO2,M+H,108349488.0,"InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7H,9H2,(H,10,11)",InChIKey=ZGUNAGUHMKGQNY-UHFFFAOYSA-N,3866.0,141.0,151.063329,3.0,2.0,11.0,C8H9NO2,2.0,63.3,-1.7,1,2-Phenylglycine,C8H9NO2,InChIKey=ZGUNAGUHMKGQNY-UHFFFAOYSA-N,151.063328537,-1.5,-1.3,7.65 g/L,151.1626,NC(C(O)=O)C1=CC=CC=C1,HMDB02210,"InChI=1S/C8H9NO2/c9-7(8(10)11)6-4-2-1-3-5-6/h1-5,7H,9H2,(H,10,11)",3,2.23,8.85,2,-1.5,0,15.18,63.32,40.36,2,2-amino-2-phenylacetic acid,2-phenylglycine,(+/-)-a-phenylglycine;(+/-)-alpha-phenylglycine;2-Amino-2-phenylacetate;2-Amino-2-phenylacetic acid;2-Phenyl-glycine;alpha-Amino-alpha-toluate;alpha-Amino-alpha-toluic acid;alpha-Amino-benzeneacetate;alpha-Amino-benzeneacetic acid;alpha-Aminobenzeneacetate;alpha-Aminobenzeneacetic acid;alpha-Aminophenylacetate;alpha-Aminophenylacetic acid;alpha-Phenylgycine;Amino(phenyl)acetate;Amino(phenyl)acetic acid;Aminophenylacetic acid;DL-2-phenyl-glycine;DL-a-aminophenylacetate;DL-a-aminophenylacetic acid;DL-a-phenylglycine;DL-alpha-aminophenylacetate;DL-alpha-aminophenylacetic acid;DL-alpha-phenylaminoacetate;DL-alpha-phenylaminoacetic acid;DL-alpha-phenylglycine;DL-phenylglycine
L-Methionine,C5H11NO2S,M+H,287293056.0,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",InChIKey=FFEARJCKVFRZRR-BYPYZUCNSA-N,6137.0,97.0,149.05105,4.0,2.0,9.0,C5H11NO2S,4.0,88.6,-1.9,1,L-Methionine,C5H11NO2S,InChIKey=FFEARJCKVFRZRR-BYPYZUCNSA-N,149.051049291,-1.9,-0.8,23.9 g/L,149.211,CSCC[C@H](N)C(O)=O,HMDB00696,"InChI=1S/C5H11NO2S/c1-9-3-2-4(6)5(7)8/h4H,2-3,6H2,1H3,(H,7,8)/t4-/m0/s1",3,2.53,9.5,2,-2.2,0,15.5,63.32,37.59,4,(2S)-2-amino-4-(methylsulfanyl)butanoic acid,L-methionine,(2S)-2-amino-4-(methylsulfanyl)butanoate;(2S)-2-amino-4-(methylsulfanyl)butanoic acid;(L)-methionine;(S)-(+)-methionine;(S)-2-amino-4-(methylthio)-Butanoate;(S)-2-amino-4-(methylthio)-Butanoic acid;(S)-2-Amino-4-(methylthio)butanoate;(S)-2-Amino-4-(methylthio)butanoic acid;(S)-2-amino-4-(methylthio)butyric acid;(S)-methionine;2-Amino-4-(methylthio)butyrate;2-Amino-4-(methylthio)butyric acid;2-Amino-4-methylthiobutanoate;2-Amino-4-methylthiobutanoic acid;A-Amino-g-methylmercaptobutyrate;A-Amino-g-methylmercaptobutyric acid;Acimethin;alpha-Amino-alpha-aminobutyric acid;alpha-Amino-gamma-methylmercaptobutyrate;alpha-Amino-gamma-methylmercaptobutyric acid;Cymethion;G-Methylthio-a-aminobutyrate;G-Methylthio-a-aminobutyric acid;gamma-Methylthio-alpha-aminobutyrate;gamma-Methylthio-alpha-aminobutyric acid;H-Met-h;H-Met-oh;L(-)-Amino-alpha-amino-alpha-aminobutyric acid;L(-)-Amino-gamma-methylthiobutyric acid;L-(-)-Methionine;L-2-Amino-4-(methylthio)butyric acid;L-2-Amino-4-methylthiobutyric acid;L-a-Amino-g-methylthiobutyrate;L-a-Amino-g-methylthiobutyric acid;L-alpha-Amino-gamma-methylmercaptobutyric acid;L-alpha-Amino-gamma-methylthiobutyrate;L-alpha-Amino-gamma-methylthiobutyric acid;L-gamma-Methylthio-alpha-aminobutyric acid;L-Methionin;L-Methionine;L-Methioninum;Liquimeth;Mepron;MET;Methilanin;Methionine;Methioninum;Metionina;Neo-methidin;Poly-L-methionine;Polymethionine;S-Methionine;S-Methyl-L-homocysteine;Toxin WAR
Guanine,C5H5N5O,M+H,61243880.0,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",InChIKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N,764.0,225.0,151.04941,2.0,3.0,11.0,C5H5N5O,0.0,96.2,-1.0,1,Guanine,C5H5N5O,InChIKey=UYTPUPDQBNUYGX-UHFFFAOYSA-N,151.049409807,-0.92,-1.8,2.31 g/L,151.1261,NC1=NC(=O)C2=C(N1)N=CN2,HMDB00132,"InChI=1S/C5H5N5O/c6-5-9-3-2(4(11)10-5)7-1-8-3/h1H,(H4,6,7,8,9,10,11)",5,8.95,2.22,3,-0.59,0,13.34,96.16,38.9,0,"2-amino-6,7-dihydro-3H-purin-6-one","2-amino-3,7-dihydropurin-6-one","2-Amino-1,7-dihydro-6H-Purin-6-one;2-Amino-1,9-dihydro-6H-purin-6-one;2-Amino-1,9-dihydro-purin-6-one;2-Amino-3,7-dihydro-6H-purin-6-one;2-Amino-6-hydroxy-1H-purine;2-Amino-6-hydroxypurine;2-Amino-6-purinol;2-Amino-Hypoxanthine;2-Aminohypoxanthine;6-Hydroxy-2-aminopurine;C.I. Natural White 1;CI Natural white 1;Dew Pearl;GUA;Guanin;Guanine;Guanine enol;GUN;Mearlmaid;Mearlmaid AA;Natural pearl essence;Natural White 1;Naturon;Pathocidin;Pearl Essence;Stella Polaris"
Pyridoxine,C8H11NO3,M+H,3529385216.0,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",InChIKey=LXNHXLLTXMVWPM-UHFFFAOYSA-N,1054.0,142.0,169.073893,4.0,3.0,12.0,C8H11NO3,2.0,73.6,-0.8,1,Pyridoxine,C8H11NO3,InChIKey=LXNHXLLTXMVWPM-UHFFFAOYSA-N,169.073893223,-0.57,-1,16.1 g/L,169.1778,CC1=NC=C(CO)C(CO)=C1O,HMDB00239,"InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3",4,9.4,5.58,3,-0.95,0,17.11,73.58,44.11,2,"4,5-bis(hydroxymethyl)-2-methylpyridin-3-ol",pyridoxine,"2-Methyl-3-hydroxy-4,5-bis(hydroxymethyl)pyridine;2-Methyl-3-hydroxy-4,5-di(hydroxymethyl)pyridine;2-Methyl-4,5-bis(hydroxymethyl)-3-hydroxypyridine;3-Hydroxy-2-Picoline-4,5-dimethanol;3-Hydroxy-4,5-dimethylol-alpha-picoline;5-Hydroxy-6-methyl-3,4-pyridinedimethanol;Adermine;Gravidox;Hydoxin;Piridossina;Piridoxina;Pyridoxin;Pyridoxine;Pyridoxinum;Pyridoxol;Pyridoxolum"
